Day fraction since midnight on 5/7/2018,Time (sec),Time (min),Source Pressure (Pa),Turbidity Effluent (),Turbidimeter Influent (),BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.56612084,0,0,30371.93164,1.59,3.9807,0.99999947,0.14210526,0.80305263
0.56617871,4.999968,0.0833328,30388.70313,1.58,4.0386,0.99999947,0.14210526,0.80305263
0.56623657,9.999072,0.1666512,30404.57813,1.57,4.0687,0.99999947,0.14210526,0.80305263
0.56629445,14.999904,0.2499984,30382.25195,1.56,4.0748,0.99999947,0.14210526,0.80305263
0.56635232,19.999872,0.3333312,30369.64453,1.56,4.0256,0.99999947,0.14210526,0.80305263
0.56641019,24.99984,0.416664,30376.04492,1.55,4.0996,0.99999947,0.14210526,0.80305263
0.56646805,29.998944,0.4999824,30353.74219,1.55,3.9532,0.99999947,0.14210526,0.80305263
0.56652596,35.002368,0.5833728,30344.94141,1.55,4.0006,0.99999947,0.14210526,0.80305263
0.56658381,40.000608,0.6666768,30372.38477,1.55,4.2899,0.99999947,0.14210526,0.80305263
0.56664167,44.999712,0.7499952,30365.92383,1.55,4.243,0.99999947,0.14210526,0.80305263
0.56669955,50.000544,0.8333424,30368.16406,1.55,4.1347,0.99999947,0.14210526,0.80305263
0.56675741,54.999648,0.9166608,30359.53906,1.55,3.8734,0.99999947,0.14210526,0.80305263
0.56681528,59.999616,0.9999936,30329.95117,1.55,3.7814,0.99999947,0.14210526,0.80305263
0.56687317,65.001312,1.0833552,30353.56836,1.55,3.6924,0.99999947,0.14210526,0.80305263
0.56693103,70.000416,1.1666736,30317.98438,1.55,3.6114,0.99999947,0.14210526,0.80305263
0.56698889,74.99952,1.249992,30304.26563,1.55,3.9438,0.99999947,0.14210526,0.80305263
0.56704677,80.000352,1.3333392,30331.49023,1.55,4.2712,0.99999947,0.14210526,0.80305263
0.56710463,84.999456,1.4166576,30335.79492,1.55,4.3285,0.99999947,0.14210526,0.80305263
0.56716252,90.001152,1.5000192,30305.09766,1.55,4.1816,0.99999947,0.14210526,0.80305263
0.56722038,95.000256,1.5833376,30323.72461,1.55,4.041,0.99999947,0.14210526,0.80305263
0.56727825,100.000224,1.6666704,30316.48438,1.55,3.8214,0.99999947,0.14210526,0.80305263
0.56733612,105.000192,1.7500032,30309.19531,1.55,3.5809,0.99999947,0.14210526,0.80305263
0.567394,110.001024,1.8333504,30302.31641,1.55,3.3808,0.99999947,0.14210526,0.80305263
0.56745186,115.000128,1.9166688,30283.48242,1.55,3.2632,0.99999947,0.14210526,0.80305263
0.56750973,120.000096,2.0000016,30314.98633,1.55,3.2186,0.99999947,0.14210526,0.80305263
0.56756761,125.000928,2.0833488,30293.54102,1.55,3.3054,0.99999947,0.14210526,0.80305263
0.56762548,130.000896,2.1666816,30260.06641,1.55,3.4807,0.99999947,0.14210526,0.80305263
0.56768334,135,2.25,30290.80273,1.55,3.6879,0.99999947,0.14210526,0.80305263
0.56774122,140.000832,2.3333472,30288.63281,1.55,3.9321,0.99999947,0.14210526,0.80305263
0.5677991,145.001664,2.4166944,30289.23047,1.55,4.083,0.99999947,0.14210526,0.80305263
0.56785695,149.999904,2.4999984,30274.9043,1.55,4.1386,0.99999947,0.14210526,0.80305263
0.56791483,155.000736,2.5833456,30245.11914,1.55,4.1188,0.99999947,0.14210526,0.80305263
0.5679727,160.000704,2.6666784,30276.16406,1.55,4.07,0.99999947,0.14210526,0.80305263
0.56803056,164.999808,2.7499968,30256.02344,1.55,4.0553,0.99999947,0.14210526,0.80305263
0.56808844,170.00064,2.833344,30280.44141,1.54,4.081,0.99999947,0.14210526,0.80305263
0.56814631,175.000608,2.9166768,30280.47266,1.54,4.119,0.99999947,0.14210526,0.80305263
0.56820417,179.999712,2.9999952,30287.74219,1.54,4.199,0.99999947,0.14210526,0.80305263
0.56826205,185.000544,3.0833424,30266.93359,1.54,4.2424,0.99999947,0.14210526,0.80305263
0.56831993,190.001376,3.1666896,30237.78516,1.54,4.3898,0.99999947,0.14210526,0.80305263
0.56837778,194.999616,3.2499936,30248.69336,1.54,4.4384,0.99999947,0.14210526,0.80305263
0.56843567,200.001312,3.3333552,30238.91992,1.55,4.2667,0.99999947,0.14210526,0.80305263
0.56849354,205.00128,3.416688,30236.06445,1.56,3.9915,0.99999947,0.14210526,0.80305263
0.5685514,210.000384,3.5000064,30241.00781,1.56,3.7928,0.99999947,0.14210526,0.80305263
0.56860927,215.000352,3.5833392,30231.9707,1.56,3.6503,0.99999947,0.14210526,0.80305263
