Day fraction,Seconds,Min,Source Pressure (Pa),Turbidity Effluent,Turbidity Influent,BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.5506082,0,0,31053.20508,1.27,5.438,0.99999947,0.14210526,0.80305263
0.55066607,4.999968,0.0833328,31060.5,1.27,6.5888,0.99999947,0.14210526,0.80305263
0.55072394,9.999936,0.1666656,31054.95703,1.27,9.1912,0.99999947,0.14210526,0.80305263
0.55078182,15.000768,0.2500128,31058.1543,1.27,43.552,0.99999947,0.14210526,0.80305263
0.5508397,20.0016,0.33336,31043.10938,1.27,44.285,0.99999947,0.14210526,0.80305263
0.55089755,24.99984,0.416664,31027.25,1.28,52.363,0.99999947,0.14210526,0.80305263
0.55095544,30.001536,0.5000256,31038.67578,1.28,71.352,0.99999947,0.14210526,0.80305263
0.55101329,34.999776,0.5833296,31029.01953,1.29,85.878,0.99999947,0.14210526,0.80305263
0.55107117,40.000608,0.6666768,31036.89258,1.29,96.682,0.99999947,0.14210526,0.80305263
0.55112903,44.999712,0.7499952,31018.14453,1.3,103.1,0.99999947,0.14210526,0.80305263
0.55118693,50.002272,0.8333712,31026.63477,1.31,105.81,0.99999947,0.14210526,0.80305263
0.55124478,55.000512,0.9166752,31047.42578,1.31,102.71,0.99999947,0.14210526,0.80305263
0.55130265,60.00048,1.000008,31058.71875,1.31,95.789,0.99999947,0.14210526,0.80305263
0.55136053,65.001312,1.0833552,31043.61914,1.31,88.335,0.99999947,0.14210526,0.80305263
0.55141841,70.002144,1.1667024,31027.91211,1.32,80.868,0.99999947,0.14210526,0.80305263
0.55147626,75.000384,1.2500064,31033.23242,1.32,73.88,0.99999947,0.14210526,0.80305263
0.55153413,80.000352,1.3333392,31049.16016,1.33,66.215,0.99999947,0.14210526,0.80305263
0.551592,85.00032,1.416672,31022.27539,1.33,58.542,0.99999947,0.14210526,0.80305263
0.55164986,89.999424,1.4999904,31057.67383,1.33,52.777,0.99999947,0.14210526,0.80305263
0.55170773,94.999392,1.5833232,31008.18164,1.33,47.677,0.99999947,0.14210526,0.80305263
0.55176562,100.001088,1.6666848,31046.75781,1.33,43.365,0.99999947,0.14210526,0.80305263
0.55182348,105.000192,1.7500032,31015.72656,1.33,37.05,0.99999947,0.14210526,0.80305263
0.55188135,110.00016,1.833336,31035.35156,1.33,33.178,0.99999947,0.14210526,0.80305263
