Day fraction since midnight on 5/8/2018,Sec,Min,Source Pressure (Pa),Turbidity Effluent (),Turbidimeter Influent (),BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.47578183,0,0,32247.18359,1.48,10.984,0.99999947,0.14210526,0.80305263
0.47583972,5.001696,0.0833616,32258.56641,2.1,57.247,0.99999947,0.14210526,0.80305263
0.47589758,10.0008,0.16668,32232.84961,2.18,56.885,0.99999947,0.14210526,0.80305263
0.47595544,14.999904,0.2499984,32269.22852,1.97,60.451,0.99999947,0.14210526,0.80305263
0.47601331,19.999872,0.3333312,32243.29297,1.79,60.451,0.99999947,0.14210526,0.80305263
0.4760712,25.001568,0.4166928,32251.43555,1.66,57.351,0.99999947,0.14210526,0.80305263
0.47612905,29.999808,0.4999968,32282.06836,1.62,53.548,0.99999947,0.14210526,0.80305263
0.47618694,35.001504,0.5833584,32256.4043,1.66,51.946,0.99999947,0.14210526,0.80305263
0.47624481,40.001472,0.6666912,32242.88086,1.58,51.21,0.99999947,0.14210526,0.80305263
0.47630267,45.000576,0.7500096,32270.95703,1.51,49.955,0.99999947,0.14210526,0.80305263
0.47636054,50.000544,0.8333424,32260.70898,1.47,49.373,0.99999947,0.14210526,0.80305263
0.47641841,55.000512,0.9166752,32287.08789,1.45,47.714,0.99999947,0.14210526,0.80305263
0.47647627,59.999616,0.9999936,32249.55273,1.45,47.304,0.99999947,0.14210526,0.80305263
0.47653416,65.001312,1.0833552,32250.84961,1.43,45.938,0.99999947,0.14210526,0.80305263
0.47659202,70.000416,1.1666736,32233.42188,1.43,44.024,0.99999947,0.14210526,0.80305263
0.47664988,74.99952,1.249992,32235.20117,1.41,42.679,0.99999947,0.14210526,0.80305263
0.47670776,80.000352,1.3333392,32272.85547,1.42,41.635,0.99999947,0.14210526,0.80305263
0.47676564,85.001184,1.4166864,32216.07227,1.4,40.505,0.99999947,0.14210526,0.80305263
0.47682349,89.999424,1.4999904,32232.63086,1.39,38.9,0.99999947,0.14210526,0.80305263
0.47688136,94.999392,1.5833232,32253.00781,1.38,38.316,0.99999947,0.14210526,0.80305263
0.47693921,99.997632,1.6666272,32236.02734,1.37,35.921,0.99999947,0.14210526,0.80305263
0.47699713,105.00192,1.750032,32220.79492,1.36,34.076,0.99999947,0.14210526,0.80305263
0.477055,110.001888,1.8333648,32203.71094,1.36,32.477,0.99999947,0.14210526,0.80305263
0.47711288,115.00272,1.916712,32248.07227,1.36,30.093,0.99999947,0.14210526,0.80305263
0.4771707,119.998368,1.9999728,32238.81445,1.36,29.273,0.99999947,0.14210526,0.80305263
0.4772286,125.000928,2.0833488,32218.74609,1.35,28.191,0.99999947,0.14210526,0.80305263
0.4772865,130.003488,2.1667248,32202.15625,1.35,26.44,0.99999947,0.14210526,0.80305263
0.47734435,135.001728,2.2500288,32216.55273,1.35,25.127,0.99999947,0.14210526,0.80305263
0.47740221,140.000832,2.3333472,32197.3125,1.35,24.508,0.99999947,0.14210526,0.80305263
0.47746008,145.0008,2.41668,32215.68555,1.35,23.174,0.99999947,0.14210526,0.80305263
0.47751795,150.000768,2.5000128,32205.40234,1.35,22.316,0.99999947,0.14210526,0.80305263
0.47757582,155.000736,2.5833456,32220.00195,1.36,21.202,0.99999947,0.14210526,0.80305263
0.4776337,160.001568,2.6666928,32246.55078,1.35,20.923,0.99999947,0.14210526,0.80305263
0.47769156,165.000672,2.7500112,32207.95117,1.35,20.513,0.99999947,0.14210526,0.80305263
0.47774943,170.00064,2.833344,32227.07031,1.35,20.056,0.99999947,0.14210526,0.80305263
0.47780731,175.001472,2.9166912,32210.5332,1.35,20.116,0.99999947,0.14210526,0.80305263
0.47786515,179.998848,2.9999808,32248.54492,1.34,19.125,0.99999947,0.14210526,0.80305263
0.47792304,185.000544,3.0833424,32203.875,1.34,18.551,0.99999947,0.14210526,0.80305263
0.47798093,190.00224,3.166704,32195.1875,1.34,17.973,0.99999947,0.14210526,0.80305263
0.4780388,195.002208,3.2500368,32222.13477,1.34,18.027,0.99999947,0.14210526,0.80305263
0.47809666,200.001312,3.3333552,32189.61719,1.34,17.606,0.99999947,0.14210526,0.80305263
0.47815452,205.000416,3.4166736,32212.30078,1.34,17.385,0.99999947,0.14210526,0.80305263
0.47821239,210.000384,3.5000064,32181.42383,1.34,17.471,0.99999947,0.14210526,0.80305263
0.47827026,215.000352,3.5833392,32202.41602,1.34,16.994,0.99999947,0.14210526,0.80305263
0.47832814,220.001184,3.6666864,32188.46289,1.34,17.308,0.99999947,0.14210526,0.80305263
0.47838601,225.001152,3.7500192,32201.57227,1.34,16.69,0.99999947,0.14210526,0.80305263
0.47844381,229.995072,3.8332512,32193.16211,1.34,16.98,0.99999947,0.14210526,0.80305263
0.47850175,235.001088,3.9166848,32189.60547,1.34,16.499,0.99999947,0.14210526,0.80305263
0.47855961,240.000192,4.0000032,32178.67773,1.34,15.965,0.99999947,0.14210526,0.80305263
