Day fraction,Seconds,Min,Source Pressure (Pa),Turbidity Effluent,Turbidity Influent,BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.74129098,0,0,0,1.37,20.653,0.99999947,0.14210526,0.80305263
0.74134887,5.001696,0.0833616,0,1.39,21.132,0.99999947,0.14210526,0.80305263
0.74140675,10.002528,0.1667088,0,1.78,20.412,0.99999947,0.14210526,0.80305263
0.74146461,15.001632,0.2500272,0,6.31,18.882,0.99999947,0.14210526,0.80305263
0.74152249,20.002464,0.3333744,0,9.82,17.93,0.99999947,0.14210526,0.80305263
0.74158035,25.001568,0.4166928,0,20.73,17.453,0.99999947,0.14210526,0.80305263
0.74163822,30.001536,0.5000256,0,19.97,17.557,0.99999947,0.14210526,0.80305263
0.74169609,35.001504,0.5833584,0,20.06,17.87,0.99999947,0.14210526,0.80305263
0.74175395,40.000608,0.6666768,0,26.92,17.695,0.99999947,0.14210526,0.80305263
0.74181183,45.00144,0.750024,0,42.07,17.185,0.99999947,0.14210526,0.80305263
0.7418697,50.001408,0.8333568,0,301.06,16.861,0.99999947,0.14210526,0.80305263
0.74192757,55.001376,0.9166896,0,463.77,16.736,0.99999947,0.14210526,0.80305263
0.74198543,60.00048,1.000008,0,403.72,16.577,0.99999947,0.14210526,0.80305263
0.74204332,65.002176,1.0833696,0,285.51,16.624,0.99999947,0.14210526,0.80305263
0.74210118,70.00128,1.166688,0,185.63,16.608,0.99999947,0.14210526,0.80305263
0.74215904,75.000384,1.2500064,0,118.55,16.53,0.99999947,0.14210526,0.80305263
0.74221692,80.001216,1.3333536,0,77.67,16.358,0.99999947,0.14210526,0.80305263
0.7422748,85.002048,1.4167008,0,50.59,16.259,0.99999947,0.14210526,0.80305263
0.74233267,90.002016,1.5000336,0,34.52,15.836,0.99999947,0.14210526,0.80305263
0.74239052,95.000256,1.5833376,0,25.18,15.397,0.99999947,0.14210526,0.80305263
0.74244842,100.002816,1.6667136,0,21.03,14.897,0.99999947,0.14210526,0.80305263
0.74250626,105.000192,1.7500032,0,18.19,14.444,0.99999947,0.14210526,0.80305263
0.74256415,110.001888,1.8333648,0,17.48,14.259,0.99999947,0.14210526,0.80305263
0.74262202,115.001856,1.9166976,0,12.8,14.283,0.99999947,0.14210526,0.80305263
0.74267987,120.000096,2.0000016,0,3.98,14.152,0.99999947,0.14210526,0.80305263
0.74273776,125.001792,2.0833632,0,4.29,13.822,0.99999947,0.14210526,0.80305263
0.74279563,130.00176,2.166696,0,5.31,13.584,0.99999947,0.14210526,0.80305263
