Day fraction,Seconds,Min,Source Pressure (Pa),Turbidity Effluent,Turbidity Influent,BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.67034195,0,0,35307.04297,1.29,3.9785,0.99999947,0.14210526,0.80305263
0.67039982,4.999968,0.0833328,35335.78906,1.29,3.9449,0.99999947,0.14210526,0.80305263
0.67045768,9.999072,0.1666512,35340.72656,1.29,3.939,0.99999947,0.14210526,0.80305263
0.67051555,14.99904,0.249984,35345.03516,1.29,3.9293,0.99999947,0.14210526,0.80305263
0.67057343,19.999872,0.3333312,35347.62109,1.29,3.9013,0.99999947,0.14210526,0.80305263
0.67063131,25.000704,0.4166784,35371.20703,1.29,3.8731,0.99999947,0.14210526,0.80305263
0.67068916,29.998944,0.4999824,35364.55469,1.29,7.8436,0.99999947,0.14210526,0.80305263
0.67074703,34.998912,0.5833152,35358.33594,1.31,11.118,0.99999947,0.14210526,0.80305263
0.67080492,40.000608,0.6666768,35390.91797,1.32,198.47,0.99999947,0.14210526,0.80305263
0.67086279,45.000576,0.7500096,35407.875,1.32,179.84,0.99999947,0.14210526,0.80305263
0.67092064,49.998816,0.8333136,35409.78906,1.33,147.99,0.99999947,0.14210526,0.80305263
0.67097854,55.001376,0.9166896,35440.28516,1.33,117.99,0.99999947,0.14210526,0.80305263
0.67103639,59.999616,0.9999936,35431.23828,1.34,104.94,0.99999947,0.14210526,0.80305263
0.67109425,64.99872,1.083312,35442.1875,1.33,88.735,0.99999947,0.14210526,0.80305263
0.67115214,70.000416,1.1666736,35467.96484,1.33,73.975,0.99999947,0.14210526,0.80305263
0.67121,74.99952,1.249992,35423.97266,1.33,64.841,0.99999947,0.14210526,0.80305263
0.6712679,80.00208,1.333368,35486.85156,1.33,58.524,0.99999947,0.14210526,0.80305263
0.67132574,84.999456,1.4166576,35506.78906,1.33,55.88,0.99999947,0.14210526,0.80305263
0.67138363,90.001152,1.5000192,35482.11719,1.33,49.951,0.99999947,0.14210526,0.80305263
0.67144148,94.999392,1.5833232,35454.40234,1.33,45.168,0.99999947,0.14210526,0.80305263
0.67149935,99.99936,1.666656,35484.05859,1.33,42.137,0.99999947,0.14210526,0.80305263
0.67155722,104.999328,1.7499888,35494.55859,1.33,39.09,0.99999947,0.14210526,0.80305263
0.67161511,110.001024,1.8333504,35506.18359,1.33,33.822,0.99999947,0.14210526,0.80305263
0.67167297,115.000128,1.9166688,35516.21094,1.33,30.77,0.99999947,0.14210526,0.80305263
0.67173084,120.000096,2.0000016,35527.13672,1.33,28.24,0.99999947,0.14210526,0.80305263
0.67178871,125.000064,2.0833344,35537.26563,1.33,25.558,0.99999947,0.14210526,0.80305263
0.67184658,130.000032,2.1666672,35535.93359,1.33,23.012,0.99999947,0.14210526,0.80305263
0.67190434,134.990496,2.2498416,35530.58984,1.33,21.897,0.99999947,0.14210526,0.80305263
0.67196233,140.000832,2.3333472,35565.36328,1.33,20.327,0.99999947,0.14210526,0.80305263
0.67202021,145.001664,2.4166944,35556.79688,1.33,18.932,0.99999947,0.14210526,0.80305263
0.67207807,150.000768,2.5000128,35583.17188,1.34,18.336,0.99999947,0.14210526,0.80305263
0.67213592,154.999008,2.5833168,35565.35938,1.33,17.548,0.99999947,0.14210526,0.80305263
0.67219384,160.003296,2.6667216,35601.59766,1.33,16.197,0.99999947,0.14210526,0.80305263
0.67225169,165.001536,2.7500256,35611.25781,1.33,15.863,0.99999947,0.14210526,0.80305263
0.67230958,170.003232,2.8333872,35596.91016,1.33,15.261,0.99999947,0.14210526,0.80305263
0.67236742,175.000608,2.9166768,35591.32031,1.33,14.051,0.99999947,0.14210526,0.80305263
0.67242529,180.000576,3.0000096,35588.33203,1.33,13.425,0.99999947,0.14210526,0.80305263
0.67248315,184.99968,3.083328,35618.76563,1.33,12.459,0.99999947,0.14210526,0.80305263
0.67254105,190.00224,3.166704,35612.56641,1.33,12.256,0.99999947,0.14210526,0.80305263
0.6725989,195.00048,3.250008,35645.15625,1.33,12.102,0.99999947,0.14210526,0.80305263
0.67265677,200.000448,3.3333408,35644.74219,1.33,12.043,0.99999947,0.14210526,0.80305263
0.67271464,205.000416,3.4166736,35620.92578,1.33,11.638,0.99999947,0.14210526,0.80305263
0.67277252,210.001248,3.5000208,35631.85547,1.33,11.001,0.99999947,0.14210526,0.80305263
0.67283034,214.996896,3.5832816,35635.53125,1.33,10.555,0.99999947,0.14210526,0.80305263
0.67288827,220.002048,3.6667008,35642.39453,1.33,9.6629,0.99999947,0.14210526,0.80305263
0.67294613,225.001152,3.7500192,35658.91797,1.33,9.9223,0.99999947,0.14210526,0.80305263
0.67300399,230.000256,3.8333376,35644.10547,1.33,9.6045,0.99999947,0.14210526,0.80305263
0.67306186,235.000224,3.9166704,35650.28906,1.33,9.5955,0.99999947,0.14210526,0.80305263
0.67311973,240.000192,4.0000032,35650.77734,1.32,9.6253,0.99999947,0.14210526,0.80305263
0.67317762,245.001888,4.0833648,35672.23438,1.32,9.5487,0.99999947,0.14210526,0.80305263
0.67323549,250.001856,4.1666976,35674.53516,1.32,9.6464,0.99999947,0.14210526,0.80305263
0.67329335,255.00096,4.250016,35687.46875,1.32,9.4838,0.99999947,0.14210526,0.80305263
0.67335122,260.000928,4.3333488,35705.91406,1.32,9.7469,0.99999947,0.14210526,0.80305263
0.6734091,265.00176,4.416696,35680.18359,1.32,9.693,0.99999947,0.14210526,0.80305263
0.67346696,270.000864,4.5000144,35672.41797,1.32,9.6074,0.99999947,0.14210526,0.80305263
0.67352484,275.001696,4.5833616,35684.42578,1.32,9.6725,0.99999947,0.14210526,0.80305263
0.6735827,280.0008,4.66668,35699.25,1.33,9.71,0.99999947,0.14210526,0.80305263
0.67364054,284.998176,4.7499696,35722.39844,1.33,9.8328,0.99999947,0.14210526,0.80305263
0.67369844,290.000736,4.8333456,35674.79297,1.33,10.481,0.99999947,0.14210526,0.80305263
0.67375633,295.002432,4.9167072,35690.85547,1.33,10.22,0.99999947,0.14210526,0.80305263
0.67381418,300.000672,5.0000112,35696.90234,1.33,10.264,0.99999947,0.14210526,0.80305263
0.67387205,305.00064,5.083344,35730.14063,1.33,10.049,0.99999947,0.14210526,0.80305263
0.67392992,310.000608,5.1666768,35712.92578,1.33,10.114,0.99999947,0.14210526,0.80305263
0.67398781,315.002304,5.2500384,35722.20313,1.33,10.022,0.99999947,0.14210526,0.80305263
0.67404566,320.000544,5.3333424,35757.82031,1.33,9.9862,0.99999947,0.14210526,0.80305263
0.67410353,325.000512,5.4166752,35735.51172,1.33,10.361,0.99999947,0.14210526,0.80305263
0.6741614,330.00048,5.500008,35733.15625,1.33,10.14,0.99999947,0.14210526,0.80305263
0.67421927,335.000448,5.5833408,35725.1875,1.33,9.8587,0.99999947,0.14210526,0.80305263
0.67427716,340.002144,5.6667024,35719.85938,1.33,9.8105,0.99999947,0.14210526,0.80305263
0.67433501,345.000384,5.7500064,35715.12109,1.33,9.9731,0.99999947,0.14210526,0.80305263
0.67439291,350.002944,5.8333824,35711.71094,1.33,10.022,0.99999947,0.14210526,0.80305263
0.67445075,355.00032,5.916672,35701.14063,1.33,9.9256,0.99999947,0.14210526,0.80305263
0.67450862,360.000288,6.0000048,35716.39063,1.33,9.5873,0.99999947,0.14210526,0.80305263
0.6745665,365.00112,6.083352,35725.62109,1.33,9.6478,0.99999947,0.14210526,0.80305263
0.67462437,370.001088,6.1666848,35698.60156,1.32,9.4501,0.99999947,0.14210526,0.80305263
0.67468225,375.00192,6.250032,35694.30469,1.32,9.4612,0.99999947,0.14210526,0.80305263
0.67474011,380.001024,6.3333504,35660.61328,1.32,9.5065,0.99999947,0.14210526,0.80305263
0.67479799,385.001856,6.4166976,35664.70313,1.32,9.3205,0.99999947,0.14210526,0.80305263
0.67485584,390.000096,6.5000016,35639.38672,1.32,9.109,0.99999947,0.14210526,0.80305263
0.67491372,395.000928,6.5833488,35638.30859,1.32,8.7976,0.99999947,0.14210526,0.80305263
0.6749716,400.00176,6.666696,35641.125,1.32,8.5796,0.99999947,0.14210526,0.80305263
0.67502947,405.001728,6.7500288,35644.55078,1.32,8.4454,0.99999947,0.14210526,0.80305263
0.67508733,410.000832,6.8333472,35635.07813,1.32,8.5857,0.99999947,0.14210526,0.80305263
0.67514521,415.001664,6.9166944,35608.44531,1.32,8.4113,0.99999947,0.14210526,0.80305263
0.67520307,420.000768,7.0000128,35655.48828,1.32,8.3693,0.99999947,0.14210526,0.80305263
0.67526096,425.002464,7.0833744,35595.39844,1.32,8.0439,0.99999947,0.14210526,0.80305263
0.67531883,430.002432,7.1667072,35587.02344,1.32,8.2172,0.99999947,0.14210526,0.80305263
0.67537669,435.001536,7.2500256,35578.86328,1.31,7.9773,0.99999947,0.14210526,0.80305263
0.67543457,440.002368,7.3333728,35594.11328,1.31,7.7863,0.99999947,0.14210526,0.80305263
0.67549243,445.001472,7.4166912,35541.51953,1.31,7.6129,0.99999947,0.14210526,0.80305263
0.67555029,450.000576,7.5000096,35587.26953,1.31,7.5751,0.99999947,0.14210526,0.80305263
0.67560817,455.001408,7.5833568,35538.76563,1.31,7.7139,0.99999947,0.14210526,0.80305263
0.67566605,460.00224,7.666704,35556.33594,1.31,7.5527,0.99999947,0.14210526,0.80305263
0.67572385,464.99616,7.749936,35528.03906,1.31,7.4671,0.99999947,0.14210526,0.80305263
0.67578179,470.002176,7.8333696,35509.14063,1.31,7.1748,0.99999947,0.14210526,0.80305263
0.67583966,475.002144,7.9167024,35505.26953,1.31,7.0579,0.99999947,0.14210526,0.80305263
0.67589753,480.002112,8.0000352,35510.65234,1.31,7.3011,0.99999947,0.14210526,0.80305263
0.67595532,484.995168,8.0832528,35543.49219,1.31,7.0509,0.99999947,0.14210526,0.80305263
0.67601327,490.002048,8.1667008,35466.44141,1.31,6.9843,0.99999947,0.14210526,0.80305263
0.67607112,495.000288,8.2500048,35477.81641,1.31,7.1809,0.99999947,0.14210526,0.80305263
0.67612901,500.001984,8.3333664,35457.23047,1.31,7.2356,0.99999947,0.14210526,0.80305263
0.67618688,505.001952,8.4166992,35438.58594,1.3,7.0707,0.99999947,0.14210526,0.80305263
0.67624475,510.00192,8.500032,35446.96094,1.3,6.9159,0.99999947,0.14210526,0.80305263
0.67630263,515.002752,8.5833792,35423.97266,1.3,6.8142,0.99999947,0.14210526,0.80305263
0.67636047,520.000128,8.6666688,35410.25391,1.3,6.7812,0.99999947,0.14210526,0.80305263
